"Product_Collection","Vertical_Segment","Age","Lithography","Recommended_Customer_Price","nb_of_Threads","Cache","TDP","Max_Memory_Size","Max_Memory_Bandwidth","Intel_Hyper_Threading_Technology_","Processor_Base_Frequency"
"7th Generation","Mobile",316,14,393,4,4,4.5,16,29.8,"Yes",1.3
"8th Generation","Mobile",317,14,297,8,6,15,32,34.1,"Yes",1.6
"8th Generation","Mobile",317,14,409,8,8,15,32,34.1,"Yes",1.8
"IntelA Processors","Desktop",112,32,305,8,10,130,64.23,51.2,"Yes",3.6
"7th Generation","Mobile",117,14,281,4,4,4.5,16,29.8,"Yes",1.2
"IntelA Processors","Mobile",115,14,107,2,2,15,16,25.6,"No",1.5
"IntelA Processors","Mobile",313,22,72,2,1,4.3,4,6.4,"No",1.46
"IntelA Processors","Desktop",313,22,161,2,12,10,8,21.3,"No",2.41
"IntelA Processors","Desktop",113,22,42,2,2,55,32,21,"No",2.6
"Legacy IntelA Processors","Mobile",106,90,250,8,12,88,8,6.4,"Yes",2.8
"IntelA Processors","Mobile",312,22,134,2,2,35,32,25.6,"No",2.4
"Legacy IntelA Processors","Mobile",204,90,107,1,22,5.5,16.6,21,"No",1.3
"IntelA Processors","Mobile",115,14,161,4,2,15,16,25.6,"Yes",1.9
"IntelA Processors","Mobile",315,14,161,4,2,15,32,34.1,"Yes",2.1
"IntelA Processors","Mobile",116,14,161,4,22,6,8,25.6,"No",1.6
"IntelA Processors","Embedded",415,14,7.75,1,8,23,256,34.1,"Yes",0.032
"IntelA Processors","Desktop",313,22,94,4,22,10,8,21.3,"No",2.41
"IntelA Processors","Desktop",413,22,94,4,22,10,8,21.3,"No",2.41
"IntelA Processors","Desktop",116,14,86,4,22,6.5,8,21.3,"No",1.6
"IntelA Processors","Desktop",217,14,161,4,2,10,8,25.6,"No",1.5
"IntelA Processors","Mobile",115,14,161,4,22,6,8,17.1,"No",1.6
"IntelA Processors","Mobile",313,22,161,4,2,7.5,8,17.1,"No",2
"IntelA Processors","Mobile",413,22,161,4,2,7.5,8,17.1,"No",2.17
"IntelA Processors","Mobile",114,22,161,4,2,7.5,8,17.1,"No",2.16
"IntelA Processors","Mobile",314,22,161,4,22,7.5,8,21.32,"No",2.16
"IntelA Processors","Mobile",316,14,161,4,22,6,8,25.6,"No",1.1
"IntelA Processors","Mobile",315,14,161,4,2,6,16,29.8,"Yes",1.5
"IntelA Processors","Mobile",217,14,161,4,2,6,16,29.8,"Yes",1.6
"IntelA Processors","Mobile",117,14,161,4,2,6,16,29.8,"Yes",1.5
"IntelA Processors","Mobile",117,14,161,4,2,15,32,34.1,"Yes",2.3
"IntelA Processors","Mobile",115,14,161,2,2,15,16,25.6,"No",1.9
"IntelA Processors","Mobile",413,22,161,2,2,11.5,16,25.6,"No",1.2
"IntelA Processors","Mobile",214,22,134,2,2,37,32,25.6,"No",2.4
